Age,Years of Experience,Education Level,Job Title,Gender,Location,Company Type,Industry,Salary
32.0,8.7,B.Tech,Software Engineer,Male,Indore,Product,E-commerce,1853211
28.0,4.1,M.Tech,Data Analyst,Female,Kochi,MNC,IT Services,888862
45.0,29.1,M.Tech,Manager,Male,Delhi NCR,MNC,Manufacturing,5608072
36.0,1.8,B.Tech,Sales,Female,Bengaluru,Domestic,AI/ML,545345
52.0,2.4,M.Tech,Director,Male,Jaipur,Domestic,Banking,2998480
29.0,14.8,B.Sc,Data Analyst,Male,Indore,Domestic,AI/ML,1899316
42.0,0.0,MBA,Product Manager,Female,Bengaluru,Product,SaaS,1262071
31.0,6.3,B.Sc,Manager,Male,Hyderabad,Domestic,Consulting,1568341
26.0,24.0,B.Tech,Marketing Manager,Female,Chandigarh,Domestic,Consumer Goods,2409559
38.0,1.6,M.Tech,Others,Male,Jaipur,MNC,AI/ML,397692
29.0,2.7,M.Tech,Software Engineer,Male,Bhubaneswar,Service,IT Services,978593
48.0,25.6,B.Tech,Manager,Female,Mumbai,MNC,IT Services,5204266
35.0,6.4,B.Tech,Data Analyst,Male,Chennai,Startup,AI/ML,1121867
40.0,6.3,MBA,Manager,Female,Mumbai,MNC,Banking,2450819
27.0,5.9,B.Tech,Others,Male,Kochi,MNC,AI/ML,736153
44.0,2.4,B.Tech,Manager,Male,Mumbai,Startup,IT Services,1581432
33.0,1.0,MBA,Manager,Female,Hyderabad,Startup,IT Services,803986
39.0,6.2,B.Tech,Software Engineer,Male,Chandigarh,Product,SaaS,1622806
25.0,3.3,B.Tech,Data Analyst,Female,Chennai,Domestic,Analytics,846538
51.0,1.7,B.Tech,Sales,Male,Delhi NCR,MNC,SaaS,628279
34.0,0.5,MBA,Data Analyst,Female,Pune,MNC,Banking,566514
47.0,5.2,MCA,Others,Male,Delhi NCR,Startup,Services,711538
30.0,0.9,B.Tech,Others,Male,Delhi NCR,MNC,Manufacturing,353950
36.0,5.9,B.Sc,Others,Female,Indore,Domestic,AI/ML,572758
41.0,6.5,MBA,Manager,Male,Delhi NCR,Domestic,Manufacturing,1785443
28.0,6.8,B.Tech,Others,Female,Lucknow,Domestic,Manufacturing,526410
37.0,1.0,M.Tech,Software Engineer,Female,Mumbai,Startup,Fintech,835922
24.0,5.7,B.Sc,Software Engineer,Male,Bengaluru,Service,IT Services,1225391
43.0,1.3,PhD,Others,Female,Mumbai,Domestic,Manufacturing,366412
33.0,1.8,M.Tech,Product Manager,Male,Hyderabad,Startup,SaaS,1363755
50.0,18.5,B.Tech,Others,Male,Delhi NCR,MNC,Manufacturing,2414627
31.0,1.6,B.Tech,Accounting,Female,Bengaluru,Startup,Banking,474288
29.0,2.1,MCA,Data Scientist,Male,Delhi NCR,Service,Healthcare Tech,1582901
39.0,8.5,B.Tech,Marketing Manager,Female,Ahmedabad,Domestic,Media,1188152
46.0,12.7,M.Tech,Manager,Male,Ahmedabad,Domestic,IT Services,3244666
27.0,4.2,B.Sc,Others,Male,Bengaluru,Domestic,Services,553093
35.0,6.8,B.Sc,HR,Female,Pune,Domestic,Consulting,804359
42.0,5.0,MBA,Software Engineer,Male,Chennai,Startup,Product Tech,1807641
26.0,3.2,B.Sc,Others,Female,Hyderabad,MNC,Manufacturing,615051
49.0,4.4,B.Tech,Sales,Male,Pune,Startup,SaaS,1027110
34.0,2.2,MBA,Designer,Female,Hyderabad,MNC,Product Tech,1295498
48.0,14.1,MCA,Director,Male,Mumbai,MNC,IT Services,8127184
30.0,4.5,B.Tech,Software Engineer,Male,Delhi NCR,MNC,IT Services,1504640
36.0,1.5,B.Sc,Others,Female,Delhi NCR,MNC,Manufacturing,351114
41.0,14.0,MBA,Others,Male,Bengaluru,Domestic,Services,1723469
28.0,0.3,B.Sc,Others,Female,Hyderabad,Domestic,Manufacturing,249226
32.0,0.1,B.Tech,Manager,Male,Hyderabad,Domestic,Manufacturing,541581
45.0,1.3,M.Tech,Marketing Manager,Female,Bengaluru,MNC,Consumer Goods,648850
38.0,5.7,B.Tech,Others,Male,Coimbatore,MNC,Manufacturing,616485
25.0,6.5,B.Tech,Data Analyst,Male,Mumbai,Domestic,Analytics,1040448
51.0,1.8,B.Tech,Manager,Female,Mumbai,Domestic,Manufacturing,707266
33.0,0.7,M.Tech,Data Analyst,Male,Chandigarh,MNC,Banking,498378
40.0,20.9,B.Tech,Others,Female,Jaipur,Domestic,Services,1402706
47.0,0.1,M.Tech,Finance,Male,Bengaluru,MNC,Consulting,646024
29.0,9.9,B.Tech,Designer,Female,Mumbai,Domestic,E-commerce,1474356
36.0,16.6,B.Tech,Manager,Male,Mumbai,Startup,Banking,4670963
27.0,4.0,M.Tech,Research,Female,Coimbatore,Domestic,Pharma,952193
43.0,1.0,B.Tech,Software Engineer,Male,Bengaluru,Product,SaaS,847496
30.0,2.3,B.Tech,Manager,Female,Bengaluru,MNC,Consulting,1840556
