Age,Years of Experience,Education Level,Job Title,Gender,Location,Company Type,Industry,Salary
32.0,8.7,B.Tech,Software Engineer,Male,Indore,Product,E-commerce,2289741
28.0,4.1,M.Tech,Data Analyst,Female,Kochi,MNC,IT Services,630136
45.0,29.1,M.Tech,Manager,Male,Delhi NCR,MNC,Manufacturing,4033330
36.0,1.8,B.Tech,Sales,Female,Bengaluru,Domestic,Retail,210214
52.0,2.4,M.Tech,Director,Male,Jaipur,Domestic,Banking,1114072
29.0,14.8,B.Sc,Data Analyst,Male,Indore,Domestic,Retail,2284894
42.0,0.0,MBA,Product Manager,Female,Bengaluru,Product,SaaS,278197
31.0,6.3,B.Sc,Manager,Male,Hyderabad,Domestic,Consulting,772986
26.0,24.0,B.Tech,Marketing Manager,Female,Chandigarh,Domestic,Consumer Goods,3568716
38.0,1.6,M.Tech,Others,Male,Jaipur,MNC,Retail,215272
29.0,2.7,M.Tech,Software Engineer,Male,Bhubaneswar,Service,IT Services,790099
48.0,25.6,B.Tech,Manager,Female,Mumbai,MNC,IT Services,4215974
35.0,6.4,B.Tech,Data Analyst,Male,Chennai,Startup,Retail,674986
40.0,6.3,MBA,Manager,Female,Mumbai,MNC,Banking,931876
27.0,5.9,B.Tech,Others,Male,Kochi,MNC,Retail,637088
44.0,2.4,B.Tech,Manager,Male,Mumbai,Startup,IT Services,686554
33.0,1.0,MBA,Manager,Female,Hyderabad,Startup,IT Services,272768
39.0,6.2,B.Tech,Software Engineer,Male,Chandigarh,Product,SaaS,808239
25.0,3.3,B.Tech,Data Analyst,Female,Chennai,Domestic,Analytics,579515
51.0,1.7,B.Tech,Sales,Male,Delhi NCR,MNC,SaaS,202266
34.0,0.5,MBA,Data Analyst,Female,Pune,MNC,Banking,219482
47.0,5.2,MCA,Others,Male,Delhi NCR,Startup,Services,653515
30.0,0.9,B.Tech,Others,Male,Delhi NCR,MNC,Manufacturing,185025
36.0,5.9,B.Sc,Others,Female,Indore,Domestic,Retail,583101
41.0,6.5,MBA,Manager,Male,Delhi NCR,Domestic,Manufacturing,932770
28.0,6.8,B.Tech,Others,Female,Lucknow,Domestic,Manufacturing,661868
37.0,1.0,M.Tech,Software Engineer,Female,Mumbai,Startup,Fintech,255102
24.0,5.7,B.Sc,Software Engineer,Male,Bengaluru,Service,IT Services,716924
43.0,1.3,PhD,Others,Female,Mumbai,Domestic,Manufacturing,208330
33.0,1.8,M.Tech,Product Manager,Male,Hyderabad,Startup,SaaS,310176
50.0,18.5,B.Tech,Others,Male,Delhi NCR,MNC,Manufacturing,5000000
31.0,1.6,B.Tech,Accounting,Female,Bengaluru,Startup,Banking,197111
29.0,2.1,MCA,Data Scientist,Male,Delhi NCR,Service,Healthcare Tech,700261
39.0,8.5,B.Tech,Marketing Manager,Female,Ahmedabad,Domestic,Media,2200800
46.0,12.7,M.Tech,Manager,Male,Ahmedabad,Domestic,IT Services,3141491
27.0,4.2,B.Sc,Others,Male,Bengaluru,Domestic,Services,515859
35.0,6.8,B.Sc,HR,Female,Pune,Domestic,Consulting,609764
42.0,5.0,MBA,Software Engineer,Male,Chennai,Startup,Product Tech,834401
26.0,3.2,B.Sc,Others,Female,Hyderabad,MNC,Manufacturing,522240
49.0,4.4,B.Tech,Sales,Male,Pune,Startup,SaaS,602203
34.0,2.2,MBA,Designer,Female,Hyderabad,MNC,Product Tech,626522
48.0,14.1,MCA,Director,Male,Mumbai,MNC,IT Services,4392568
30.0,4.5,B.Tech,Software Engineer,Male,Delhi NCR,MNC,IT Services,734369
36.0,1.5,B.Sc,Others,Female,Delhi NCR,MNC,Manufacturing,180000
41.0,14.0,MBA,Others,Male,Bengaluru,Domestic,Services,2491753
28.0,0.3,B.Sc,Others,Female,Hyderabad,Domestic,Manufacturing,180000
32.0,0.1,B.Tech,Manager,Male,Hyderabad,Domestic,Manufacturing,227289
45.0,1.3,M.Tech,Marketing Manager,Female,Bengaluru,MNC,Consumer Goods,228877
38.0,5.7,B.Tech,Others,Male,Coimbatore,MNC,Manufacturing,668244
25.0,6.5,B.Tech,Data Analyst,Male,Mumbai,Domestic,Analytics,679460
51.0,1.8,B.Tech,Manager,Female,Mumbai,Domestic,Manufacturing,244473
33.0,0.7,M.Tech,Data Analyst,Male,Chandigarh,MNC,Banking,220585
40.0,20.9,B.Tech,Others,Female,Jaipur,Domestic,Services,2669984
47.0,0.1,M.Tech,Finance,Male,Bengaluru,MNC,Consulting,219523
29.0,9.9,B.Tech,Designer,Female,Mumbai,Domestic,E-commerce,1978531
36.0,16.6,B.Tech,Manager,Male,Mumbai,Startup,Banking,3082140
27.0,4.0,M.Tech,Research,Female,Coimbatore,Domestic,Pharma,772499
43.0,1.0,B.Tech,Software Engineer,Male,Bengaluru,Product,SaaS,234258
30.0,2.3,B.Tech,Manager,Female,Bengaluru,MNC,Consulting,662582
35.0,5.2,M.Tech,Product Manager,Male,Nagpur,MNC,Product Tech,948564
51.0,2.1,MCA,Director,Female,Bengaluru,Domestic,Banking,989805
29.0,2.1,B.Tech,Data Analyst,Male,Pune,MNC,Analytics,543125
40.0,0.5,B.Tech,Manager,Female,Bengaluru,Domestic,Manufacturing,240766
47.0,2.8,B.Tech,Data Scientist,Male,Hyderabad,MNC,Healthcare Tech,756340
26.0,5.3,B.Tech,Accounting,Male,Indore,Domestic,Banking,616296
38.0,1.6,MBA,Manager,Female,Mumbai,Startup,IT Services,278584
46.0,19.5,B.Tech,Manager,Male,Ahmedabad,Domestic,IT Services,3397111
31.0,3.6,B.Tech,Others,Female,Lucknow,Domestic,Services,548217
34.0,21.9,MCA,Manager,Male,Vadodara,Domestic,Retail,3950999
49.0,12.3,MBA,Data Analyst,Female,Chandigarh,Domestic,Retail,2601306
33.0,7.6,B.Tech,Software Engineer,Male,Pune,Service,Fintech,2308421
